index-entry-number,entry-number,entry-timestamp,key,allergen,name,allergen-group,start-date,end-date
26,26,2017-11-29T15:07:48Z,36,36,"Sulphur dioxide and/or sulphites",,,
25,25,2017-11-29T15:07:48Z,35,35,Soya,,,
24,24,2017-11-29T15:07:48Z,34,34,Sesame,,,
23,23,2017-11-29T15:07:48Z,33,33,Peanuts,,,
22,22,2017-11-29T15:07:48Z,32,32,Walnut,24,,
21,21,2017-11-29T15:07:48Z,31,31,"Pistachio nut",24,,
20,20,2017-11-29T15:07:48Z,30,30,"Pecan nut",24,,
19,19,2017-11-29T15:07:48Z,29,29,"Macadamia nut",24,,
18,18,2017-11-29T15:07:48Z,28,28,Hazelnut,24,,
17,17,2017-11-29T15:07:48Z,27,27,Cashew,24,,
16,16,2017-11-29T15:07:48Z,26,26,"Brazil nut",24,,
15,15,2017-11-29T15:07:48Z,25,25,Almond,24,,
14,14,2017-11-29T15:07:48Z,24,24,Nuts,,,
13,13,2017-11-29T15:07:48Z,23,23,Mustard,,,
12,12,2017-11-29T15:07:48Z,22,22,Molluscs,,,
11,11,2017-11-29T15:07:48Z,21,21,Milk,,,
10,10,2017-11-29T15:07:48Z,20,20,Lupin,,,
9,9,2017-11-29T15:07:48Z,19,19,Wheat,15,,
8,8,2017-11-29T15:07:48Z,18,18,Rye,15,,
7,7,2017-11-29T15:07:48Z,17,17,Oats,15,,
6,6,2017-11-29T15:07:48Z,16,16,Barley,15,,
5,5,2017-11-29T15:07:48Z,15,15,Gluten,,,
4,4,2017-11-29T15:07:48Z,14,14,Fish,,,
3,3,2017-11-29T15:07:48Z,13,13,Egg,,,
2,2,2017-11-29T15:07:48Z,12,12,Crustaceans,,,
1,1,2017-11-29T15:07:48Z,11,11,Celery,,,
