index-entry-number,entry-number,entry-timestamp,key,"approved-open-standard-guidance",name,approved-open-standards,website,start-date,end-date
14,14,2018-06-18T16:16:14Z,114,114,"Exchange of calendar events","approved-open-standard:1019","https://www.gov.uk/government/publications/open-standards-for-government/exchange-of-calendar-events",2018-01-31,
13,13,2018-06-18T16:16:14Z,113,113,"Exchange of contact information","approved-open-standard:1018","https://www.gov.uk/government/publications/open-standards-for-government/exchange-of-contact-information",2018-01-31,
12,12,2018-06-18T16:16:14Z,112,112,"Viewing government documents","approved-open-standard:1015;approved-open-standard:1016;approved-open-standard:1017","https://www.gov.uk/government/publications/open-standards-for-government/viewing-government-documents",2018-01-31,
11,11,2018-06-18T16:16:14Z,111,111,"Sharing or collaborating with government documents","approved-open-standard:1014","https://www.gov.uk/government/publications/open-standards-for-government/sharing-or-collaborating-with-government-documents",2018-01-31,
10,10,2018-06-18T16:16:14Z,110,110,"Persistent resolvable identifiers","approved-open-standard:1012;approved-open-standard:1013","https://www.gov.uk/government/publications/open-standards-for-government/persistent-resolvable-identifiers",2018-01-31,
9,9,2018-06-18T16:16:14Z,109,109,"Cross platform character encoding profile","approved-open-standard:1010;approved-open-standard:1011","https://www.gov.uk/government/publications/open-standards-for-government/cross-platform-character-encoding-profile",2018-01-31,
8,8,2018-06-18T16:16:14Z,108,108,"Language tags","approved-open-standard:1009","https://www.gov.uk/government/publications/open-standards-for-government/language-tags",2018-01-31,
7,7,2018-06-18T16:16:14Z,107,107,"Country codes","approved-open-standard:1008","https://www.gov.uk/government/publications/open-standards-for-government/country-codes",2018-01-31,
6,6,2018-06-18T16:16:14Z,106,106,"Exchange of location point","approved-open-standard:1006;approved-open-standard:1007","https://www.gov.uk/government/publications/open-standards-for-government/exchange-of-location-point",2018-01-31,
5,5,2018-06-18T16:16:14Z,105,105,"Multi agency incident transfer","approved-open-standard:1005","https://www.gov.uk/government/publications/open-standards-for-government/multi-agency-incident-transfer",2018-01-31,
4,4,2018-06-18T16:16:14Z,104,104,"Publishing vacancies","approved-open-standard:1004","https://www.gov.uk/government/publications/open-standards-for-government/publishing-vacancies-online-standards-profile--2",2018-01-31,
3,3,2018-06-18T16:16:14Z,103,103,"International development data","approved-open-standard:1003","https://www.gov.uk/government/publications/open-standards-for-government/open-standard-for-international-development-data",2018-01-31,
2,2,2018-06-18T16:16:14Z,102,102,"Open contracting data","approved-open-standard:1002","https://www.gov.uk/government/publications/open-standards-for-government/open-contracting-data-standard-profile",2018-01-31,
1,1,2018-06-18T16:16:14Z,101,101,"Date-times and time-stamps","approved-open-standard:1001","https://www.gov.uk/government/publications/open-standards-for-government/date-times-and-time-stamps-standard",2018-01-31,
