index-entry-number,entry-number,entry-timestamp,key,approved-open-standard,name,short-name,website,start-date,end-date
23,23,2018-08-15T15:58:13Z,1020,1020,"Unicode 11.0",Unicode,"https://www.unicode.org/versions/Unicode11.0.0/",2018-08-07,
22,22,2018-08-15T15:54:11Z,1010,1010,"Unicode 6.2",Unicode,"http://www.unicode.org/versions/Unicode6.2.0/",2018-01-31,2018-08-07
21,21,2018-06-26T14:50:13Z,1019,1019,"RFC5545 iCalendar September 2009.",iCal,"https://tools.ietf.org/html/rfc5545",2018-01-31,
20,20,2018-06-26T14:49:39Z,1018,1018,"RFC6350 vCard August 2011.",vCard,"https://tools.ietf.org/html/rfc6350",2018-01-31,
17,17,2018-05-09T13:56:21Z,1017,1017,"ISO/IEC 19005-2:2011",PDF/A-2,"http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=50655",2018-01-31,
16,16,2018-05-09T13:56:21Z,1016,1016,"ISO/IEC 19005-1:2005",PDF/A-1,"http://www.iso.org/iso/catalogue_detail?csnumber=38920",2018-01-31,
15,15,2018-05-09T13:56:21Z,1015,1015,HTML5,HTML5,"http://www.w3.org/html/wg/drafts/html/master/",2018-01-31,
14,14,2018-05-09T13:56:21Z,1014,1014,"Open Document Format","ODF 1.2","http://docs.oasis-open.org/office/v1.2/OpenDocument-v1.2.html",2018-01-31,
13,13,2018-05-09T13:56:21Z,1013,1013,"Uniform Resource Locator",URL,"http://tools.ietf.org/html/rfc3986",2018-01-31,
12,12,2018-05-09T13:56:21Z,1012,1012,"HTTP 1.1",,"http://tools.ietf.org/html/rfc2616",2018-01-31,
11,11,2018-05-09T13:56:21Z,1011,1011,"Unicode Transformation Format 8",UTF-8,"http://www.rfc-base.org/rfc-3629.html",2018-01-31,
9,9,2018-05-09T13:56:21Z,1009,1009,"ISO 639-1:2002",,"http://www.iso.org/iso/catalogue_detail?csnumber=22109",2018-01-31,
8,8,2018-05-09T13:56:21Z,1008,1008,"ISO 3166-1:2013",,"http://www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=63545",2018-01-31,
7,7,2018-05-09T13:56:21Z,1007,1007,"World Geodetic System 1984","WGS 84","https://www.nga.mil/ProductsServices/GeodesyandGeophysics/Pages/WorldGeodeticSystem.aspx",2018-01-31,
6,6,2018-05-09T13:56:21Z,1006,1006,"European Terrestrial Reference System 1989",ETRS89,"http://etrs89.ensg.ign.fr/",2018-01-31,
5,5,2018-05-09T13:56:21Z,1005,1005,"multi agency incident transfer protocol (MAIT)","Multi Agency Incident Transfer Version 0.2.2",http://mait.org.uk/,2018-01-31,
4,4,2018-05-09T13:56:21Z,1004,1004,"schema.org JobPosting",JobPosting,"https://schema.org/JobPosting",2018-01-31,
3,3,2018-05-09T13:56:21Z,1003,1003,"International Aid Transparency Initiative (IATI)","IATI v2.02","http://iatistandard.org/202/reference/",2018-01-31,
2,2,2018-05-09T13:56:21Z,1002,1002,"Open Contracting Data Standard (OCDS)","OCDS V 1.1","http://standard.open-contracting.org/latest/en/",2018-01-31,
1,1,2018-05-09T13:56:21Z,1001,1001,"ISO 8601:2004",,"https://www.iso.org/standard/40874.html",2018-01-31,
