index-entry-number,entry-number,entry-timestamp,key,"ddat-profession-capability-framework-role",name,start-date,end-date
38,38,2018-07-02T17:08:57Z,1038,1038,"User researcher",,
37,37,2018-07-02T17:08:57Z,1037,1037,"Service designer",,
36,36,2018-07-02T17:08:57Z,1036,1036,"Interaction designer",,
35,35,2018-07-02T17:08:57Z,1035,1035,"Graphic designer",,
34,34,2018-07-02T17:08:57Z,1034,1034,"Content strategist",,
33,33,2018-07-02T17:08:57Z,1033,1033,"Technical writer",,
32,32,2018-07-02T17:08:57Z,1032,1032,"Content designer",,
31,31,2018-07-02T17:08:57Z,1031,1031,"Performance analyst",,
30,30,2018-07-02T17:08:57Z,1030,1030,"Data scientist",,
29,29,2018-07-02T17:08:57Z,1029,1029,"Data engineer",,
28,28,2018-07-02T17:08:57Z,1028,1028,"Test engineer",,
27,27,2018-07-02T17:08:57Z,1027,1027,"QAT analyst",,
26,26,2018-07-02T17:08:57Z,1026,1026,"Test manager",,
25,25,2018-07-02T17:08:57Z,1025,1025,"Service transition manager",,
24,24,2018-07-02T17:08:57Z,1024,1024,"Command and control centre manager",,
23,23,2018-07-02T17:08:57Z,1023,1023,"Change and release manager",,
22,22,2018-07-02T17:08:57Z,1022,1022,"Problem manager",,
21,21,2018-07-02T17:08:57Z,1021,1021,"Incident manager",,
20,20,2018-07-02T17:08:57Z,1020,1020,"Business relationship manager",,
19,19,2018-07-02T17:08:57Z,1019,1019,"IT service manager",,
18,18,2018-07-02T17:08:57Z,1018,1018,"Service desk manager",,
17,17,2018-07-02T17:08:57Z,1017,1017,"Engineer - end user computing",,
16,16,2018-07-02T17:08:57Z,1016,1016,"Engineer - infrastructure operations",,
15,15,2018-07-02T17:08:57Z,1015,1015,"Engineer - application operations",,
14,14,2018-07-02T17:08:57Z,1014,1014,"Infrastructure engineer - specialist",,
13,13,2018-07-02T17:08:57Z,1013,1013,"Infrastructure engineer",,
12,12,2018-07-02T17:08:57Z,1012,1012,"Development operations",,
11,11,2018-07-02T17:08:57Z,1011,1011,"Software developer",,
10,10,2018-07-02T17:08:57Z,1010,1010,"Data architect",,
9,9,2018-07-02T17:08:57Z,1009,1009,"Security architect",,
8,8,2018-07-02T17:08:57Z,1008,1008,"Network architect",,
7,7,2018-07-02T17:08:57Z,1007,1007,"Technical architect - specialist",,
6,6,2018-07-02T17:08:57Z,1006,1006,"Technical architect",,
5,5,2018-07-02T17:08:57Z,1005,1005,"Product manager",,
4,4,2018-07-02T17:08:57Z,1004,1004,"Service owner",,
3,3,2018-07-02T17:08:57Z,1003,1003,"Delivery manager",,
2,2,2018-07-02T17:08:57Z,1002,1002,"Programme delivery manager",,
1,1,2018-07-02T17:08:57Z,1001,1001,"Business analyst",,
