index-entry-number,entry-number,entry-timestamp,key,"ddat-profession-capability-framework","profession-capability-framework-skill-type","profession-capability-framework-job-family","profession-capability-framework-role","profession-capability-framework-role-level","profession-capability-framework-skill","profession-capability-framework-level",start-date,end-date
1451,1451,2018-07-02T18:03:38Z,407510.11,407510.11,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1147","ddat-profession-capability-framework-skill:1004","ddat-profession-capability-framework-level:102",,
1450,1450,2018-07-02T18:03:38Z,407510.16,407510.16,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1147","ddat-profession-capability-framework-skill:1058","ddat-profession-capability-framework-level:102",,
1449,1449,2018-07-02T18:03:38Z,407510.21,407510.21,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1147","ddat-profession-capability-framework-skill:1092","ddat-profession-capability-framework-level:102",,
1448,1448,2018-07-02T18:03:38Z,407510.26,407510.26,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1147","ddat-profession-capability-framework-skill:1096","ddat-profession-capability-framework-level:102",,
1447,1447,2018-07-02T18:03:38Z,407510.31,407510.31,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1147","ddat-profession-capability-framework-skill:1099","ddat-profession-capability-framework-level:102",,
1446,1446,2018-07-02T18:03:38Z,407510.36,407510.36,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1147","ddat-profession-capability-framework-skill:1134","ddat-profession-capability-framework-level:102",,
1445,1445,2018-07-02T18:03:38Z,407510.66,407510.66,"ddat-profession-capability-framework-skill-type:11","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1147","ddat-profession-capability-framework-skill:1115","ddat-profession-capability-framework-level:101",,
1444,1444,2018-07-02T18:03:38Z,407520.11,407520.11,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1148","ddat-profession-capability-framework-skill:1004","ddat-profession-capability-framework-level:102",,
1443,1443,2018-07-02T18:03:38Z,407520.16,407520.16,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1148","ddat-profession-capability-framework-skill:1058","ddat-profession-capability-framework-level:101",,
1442,1442,2018-07-02T18:03:38Z,407520.21,407520.21,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1148","ddat-profession-capability-framework-skill:1092","ddat-profession-capability-framework-level:102",,
1441,1441,2018-07-02T18:03:38Z,407520.26,407520.26,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1148","ddat-profession-capability-framework-skill:1096","ddat-profession-capability-framework-level:101",,
1440,1440,2018-07-02T18:03:38Z,407520.31,407520.31,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1148","ddat-profession-capability-framework-skill:1099","ddat-profession-capability-framework-level:101",,
1439,1439,2018-07-02T18:03:38Z,407520.36,407520.36,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1148","ddat-profession-capability-framework-skill:1134","ddat-profession-capability-framework-level:101",,
1438,1438,2018-07-02T18:03:38Z,407520.66,407520.66,"ddat-profession-capability-framework-skill-type:11","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1148","ddat-profession-capability-framework-skill:1115","ddat-profession-capability-framework-level:101",,
1437,1437,2018-07-02T18:03:38Z,407530.11,407530.11,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1149","ddat-profession-capability-framework-skill:1004","ddat-profession-capability-framework-level:101",,
1436,1436,2018-07-02T18:03:38Z,407530.16,407530.16,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1149","ddat-profession-capability-framework-skill:1058","ddat-profession-capability-framework-level:101",,
1435,1435,2018-07-02T18:03:38Z,407530.21,407530.21,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1149","ddat-profession-capability-framework-skill:1092","ddat-profession-capability-framework-level:101",,
1434,1434,2018-07-02T18:03:38Z,407530.26,407530.26,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1149","ddat-profession-capability-framework-skill:1096","ddat-profession-capability-framework-level:103",,
1433,1433,2018-07-02T18:03:38Z,407530.31,407530.31,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1149","ddat-profession-capability-framework-skill:1099","ddat-profession-capability-framework-level:103",,
1432,1432,2018-07-02T18:03:38Z,407530.36,407530.36,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1149","ddat-profession-capability-framework-skill:1134","ddat-profession-capability-framework-level:101",,
1431,1431,2018-07-02T18:03:38Z,407530.66,407530.66,"ddat-profession-capability-framework-skill-type:11","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1149","ddat-profession-capability-framework-skill:1115","ddat-profession-capability-framework-level:101",,
1430,1430,2018-07-02T18:03:38Z,407540.11,407540.11,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1150","ddat-profession-capability-framework-skill:1004","ddat-profession-capability-framework-level:103",,
1429,1429,2018-07-02T18:03:38Z,407540.16,407540.16,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1150","ddat-profession-capability-framework-skill:1058","ddat-profession-capability-framework-level:103",,
1428,1428,2018-07-02T18:03:38Z,407540.21,407540.21,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1150","ddat-profession-capability-framework-skill:1092","ddat-profession-capability-framework-level:103",,
1427,1427,2018-07-02T18:03:38Z,407540.26,407540.26,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1150","ddat-profession-capability-framework-skill:1096","ddat-profession-capability-framework-level:103",,
1426,1426,2018-07-02T18:03:38Z,407540.31,407540.31,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1150","ddat-profession-capability-framework-skill:1099","ddat-profession-capability-framework-level:103",,
1425,1425,2018-07-02T18:03:38Z,407540.36,407540.36,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1150","ddat-profession-capability-framework-skill:1134","ddat-profession-capability-framework-level:103",,
1424,1424,2018-07-02T18:03:38Z,407540.66,407540.66,"ddat-profession-capability-framework-skill-type:11","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1150","ddat-profession-capability-framework-skill:1115","ddat-profession-capability-framework-level:103",,
1423,1423,2018-07-02T18:03:38Z,407550.11,407550.11,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1151","ddat-profession-capability-framework-skill:1004","ddat-profession-capability-framework-level:103",,
1422,1422,2018-07-02T18:03:38Z,407550.16,407550.16,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1151","ddat-profession-capability-framework-skill:1058","ddat-profession-capability-framework-level:104",,
1421,1421,2018-07-02T18:03:38Z,407550.21,407550.21,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1151","ddat-profession-capability-framework-skill:1092","ddat-profession-capability-framework-level:103",,
1420,1420,2018-07-02T18:03:38Z,407550.26,407550.26,"ddat-profession-capability-framework-skill-type:10","ddat-profession-capability-framework-job-family:106","ddat-profession-capability-framework-role:1038","ddat-profession-capability-framework-role-level:1151","ddat-profession-capability-framework-skill:1096","ddat-profession-capability-framework-level:104",,
