index-entry-number,entry-number,entry-timestamp,key,"information-sharing-agreement-0001",name,purpose,"information-sharing-benefits",legal-power-disclosure,disclosed-information,controllers,controller-names,"information-sharing-method",processors,processor-names,retention-period,start-date,end-date,review-date,contact,areas,area-names
40,40,2019-08-12T13:54:09Z,38,38,"Childcare Pilot 001","The objective is to initiate an initial data exchange with HMRC in order to share information on customers who could potentially be claiming funding towards their childcare costs through multiple sources. The project will aim to identify any cases where customers appear to be double funded and investigate whether there has been a breach in their terms and conditions for receiving the childcare grant through SLC.","There will be tangible benefits in reducing fraudulent claims In addition: 
-        Contribution to Government strategy to reduce fraud and error
-        Improved reputation
-        Improved data sharing capability
-        Publicising results to deter others leading to loss reductions","information-sharing-agreement-powers-and-objectives-0001:7","It is expected that SLC will send the following information for matching purposes. 
•        Forename
•        Surname
•        DOB
•        Address
•        NINO
•        Child Name
•        Child DOB 
•        Childcare Provider Name 
•        Childcare OFSTED number

Initial assumption is that SLC would require the following from HMRC:
•        Match found on customer– working tax credits
•        Match found on child
•        Periods in which childcare funded was awarded (assume would want in last 2 tax years to cover the 17/18 academic year)
•        Childcare funding application date","government-organisation:PB27",,"The single file transfer will be completed by existing arrangements Secure Data Exchange Service (SDES), plus excel file will also be encrypted (password protected and sent out of band)","government-organisation:D25",,P8M,2019-06-03,2019-09-27,2019-09-27,"Data Subject Access RequestsVerification Operations, 5 WestStudent Loans Company100 Bothwell StreetGlasgowG2 7JD",,
39,39,2019-07-05T15:27:45Z,37,37,"DWP Universal Credit and DVLA registered keepers database data sharing","To enable DWP to determine whether data on DVLA registered keepers database can help in verification of an individual’s address to help prevent fraud related to household composition","To enable DWP to understand whether DVLA registered keepers database information can help in automating the process of verifying an individual is at the address to assist in the prevention of fraud relating to household composition.","information-sharing-agreement-powers-and-objectives-0001:7","First names,
Family name,
Address lines 1-4 where held,
Postcode","government-organisation:D10;government-organisation:EA74",,"Encrypted USB stick using track and trace delivery","government-organisation:EA74",,P5M,2019-07-01,2019-12-31,2019-12-31,"data.protection@dwp.gov.uk;rightofaccess.requests@dwp.gov.uk",,
38,38,2019-06-23T16:28:59Z,36,36,"Pilot data share between City of Wolverhampton Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop City of Wolverhampton Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:WLV",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"data.protection@wolverhampton.gov.uk",,"City of Wolverhampton Council"
37,37,2019-06-23T16:28:59Z,35,35,"Pilot data share between Wealden District Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Wealden District Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:WEA",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"informationgovernance@wealden.gov.uk",,"Wealden District Council"
36,36,2019-06-23T16:28:59Z,34,34,"Pilot data share between Walsall Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Walsall Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:WLL",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"informationrights@walsall.gov.uk",,"Walsall Council"
35,35,2019-06-23T16:28:59Z,33,33,"Pilot data share between Wakefield Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Wakefield Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:WKF",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"dataprotection@wakefield.gov.uk",,"Wakefield Council"
34,34,2019-06-23T16:28:59Z,32,32,"Pilot data share between Tower Hamlets Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Tower Hamlets Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:TWH",,"Secure CD and Government secure courier","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,foi@towerhamlets.gov.uk,,"Tower Hamlets Council"
33,33,2019-06-23T16:28:59Z,31,31,"Pilot data share between Southwark Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Southwark Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:SWK",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,dpo@southwark.gov.uk,,"Southwark Council"
32,32,2019-06-23T16:28:59Z,30,30,"Pilot data share between Solihull Metropolitan Borough Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Solihull Metropolitan Borough Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:SOL",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,infogov@solihull.gov.uk,,"Solihull Metropolitan Borough Council"
31,31,2019-06-23T16:28:59Z,29,29,"Pilot data share between Sandwell Metropolitan Borough Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Sandwell Metropolitan Borough Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:SAW",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"info_management@sandwell.gov.uk",,"Sandwell Metropolitan Borough Council"
