index-entry-number,entry-number,entry-timestamp,key,"information-sharing-agreement-specified-person-0001",name,relevant-powers,start-date,end-date
103,103,2019-04-08T16:35:47Z,96,96,"A water or sewerage undertaker for an area which is wholly or mainly in Wales.","information-sharing-agreement-powers-and-objectives-0001:3",,
102,102,2019-04-08T16:35:47Z,95,95,"A water or sewerage undertaker for an area which is wholly or mainly in England","information-sharing-agreement-powers-and-objectives-0001:3",,
101,101,2019-04-08T16:35:47Z,94,94,"A licensed gas and/or electricity supplier","information-sharing-agreement-powers-and-objectives-0001:2",,
100,100,2019-01-24T13:23:34Z,93,93,"A Special Health Authority established under section 22 of the National Health Service (Wales) Act 2006.",,,
99,99,2019-01-24T13:22:16Z,92,92,"The Board of Community Health Councils in Wales.",,,
98,98,2019-01-24T13:20:01Z,91,91,"An NHS Trust established under section 18 of the National Health Service (Wales) Act 2006.",,,
97,97,2019-01-24T13:18:14Z,90,90,"Local Health Board established under section 11 of the National Health Service (Wales) Act 2006.",,,
96,96,2019-01-24T13:16:20Z,89,89,"A Community Health Council in Wales.",,,
95,95,2019-01-08T15:01:34Z,86,86,"Scottish Ministers","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2",,
94,94,2019-01-08T15:01:34Z,18,18,"Welsh Ministers","information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:7;information-sharing-agreement-powers-and-objectives-0001:6",,
91,91,2018-12-04T13:22:19Z,88,88,"The Skills Development Scotland Co. Limited (company registration number SC202659)","information-sharing-agreement-powers-and-objectives-0001:1",,
90,90,2018-12-04T13:22:19Z,87,87,"A council constituted under section 2 of the Local Government etc (Scotland) Act 1994 (c)","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:4",,
88,88,2018-12-04T13:22:19Z,85,85,"The National Library of Wales ","information-sharing-agreement-powers-and-objectives-0001:7",,
87,87,2018-12-04T13:22:19Z,84,84,"The Royal Commission on Ancient and Historical Monuments in Wales ","information-sharing-agreement-powers-and-objectives-0001:7",,
86,86,2018-12-04T13:22:19Z,83,83,"The Sports Council for Wales","information-sharing-agreement-powers-and-objectives-0001:7",,
85,85,2018-12-04T13:22:19Z,82,82,"Arts Council of Wales","information-sharing-agreement-powers-and-objectives-0001:7",,
84,84,2018-12-04T13:22:19Z,81,81,"The Higher Education Funding Council for Wales","information-sharing-agreement-powers-and-objectives-0001:7",,
83,83,2018-12-04T13:22:19Z,80,80,"A registered social landlord being a body registered in the register maintained under section 1 of the Housing Act 1996.","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:7",,
82,82,2018-12-04T13:22:19Z,79,79,"The Natural Resources Body for Wales","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:7",,
81,81,2018-12-04T13:22:19Z,78,78,"A regulated institution within the meaning of the Higher Education (Wales) Act 2015 (ignoring section 26 of that Act) other than an institution within the higher education sector (within the meaning of section 91(5) of the Further and Higher Education Act 1992) ","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3",,
80,80,2018-12-04T13:22:19Z,77,77,"The governing body of an institution in Wales within the higher education sector (within the meaning of section 91(5) of the Further and Higher Education Act 1992) whose activities are carried on, or principally carried on, in Wales","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3",,
79,79,2018-12-04T13:22:19Z,76,76,"The governing body of an institution in Wales within the further education sector (within the meaning of section 91(3) of the Further and Higher Education Act 1992) whose activities are carried on, or principally carried on, in Wales. ","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3",,
78,78,2018-12-04T13:22:19Z,75,75,"The governing body of an educational establishment maintained by a Welsh local authority (within the meaning of section 162 of the Education and Inspections Act 2006) ","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3",,
77,77,2018-12-04T13:22:19Z,74,74,"Career Choices Dewis Gyfra Ltd (company number 07442837, operating as Careers Wales) ","information-sharing-agreement-powers-and-objectives-0001:1",,
76,76,2018-12-04T13:22:19Z,73,73,"A fire and rescue authority constituted by a scheme under section 2 of the Fire and Rescue Services Act 2004, or a scheme to which section 4 of that Act applies, for an area in Wales. ","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:7",,
75,75,2018-12-04T13:22:19Z,72,72,"A community Council in Wales","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
74,74,2018-12-04T13:22:19Z,71,71,"The Welsh Revenue Authority","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
73,73,2018-12-04T13:22:19Z,70,70,"The Counsel General to the Welsh Government ","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
72,72,2018-12-04T13:22:19Z,57,57,"A county borough council in Wales","information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
71,71,2018-12-04T13:22:19Z,55,55,"A county council in Wales","information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
69,69,2018-11-01T16:37:01Z,69,69,"A person providing services to a specified person who is a public authority in respect of the taking of action in connection with fraud against a public authority.","information-sharing-agreement-powers-and-objectives-0001:7",,
68,68,2018-11-01T16:37:01Z,68,68,"A person providing services to a specified person who is a public authority in respect of the taking of action in connection with debt owed to a public authority or to the Crown.","information-sharing-agreement-powers-and-objectives-0001:6",,
67,67,2018-11-01T16:37:01Z,67,67,"A person providing services in connection with a water poverty objective (within the meaning of section 38) to a specified person who is a public authority.","information-sharing-agreement-powers-and-objectives-0001:3",,
66,66,2018-11-01T16:37:01Z,66,66,"A person providing services in connection with a fuel poverty objective (within the meaning of section 36) to a specified person who is a public authority.","information-sharing-agreement-powers-and-objectives-0001:2",,
65,65,2018-11-01T16:37:01Z,65,65,"A person providing services in connection with a specified objective (within the meaning of section 35) to a specified person who is a public authority.","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4",,
64,64,2018-11-01T16:37:01Z,64,64,"An NHS body within the meaning of the National Health Service Act 2006 (see section 275 of that Act)","information-sharing-agreement-powers-and-objectives-0001:5",,
63,63,2018-11-01T16:37:01Z,63,63,"A chief officer of police for a police area in England and Wales.","information-sharing-agreement-powers-and-objectives-0001:1",,
62,62,2018-11-01T16:37:01Z,62,62,"A fire and rescue authority created by a scheme under section 4A of the Fire and Rescue Services Act 2004.","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2",,
61,61,2018-11-01T16:37:01Z,61,61,"A fire and rescue authority in England constituted by a scheme under section 2 of the Fire and Rescue Services Act 2004 or a scheme to which section 4 of that Act applies.","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2",,
60,60,2018-11-01T16:37:01Z,60,60,"The London Fire Commissioner","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2",,
59,59,2018-11-01T16:37:01Z,59,59,"A metropolitan county fire and rescue authority","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2",,
