index-entry-number,entry-number,entry-timestamp,key,internal-drainage-board,name,legislation,start-date,end-date
113,113,2017-03-21T11:37:19Z,IDB99,IDB99,"Upwell Internal Drainage Board",,,
112,112,2017-03-21T11:37:19Z,IDB98,IDB98,"Upper Witham Internal Drainage Board",,,
111,111,2017-03-21T11:37:19Z,IDB97,IDB97,"Upper Medway Internal Drainage Board",,,
110,110,2017-03-21T11:37:19Z,IDB96,IDB96,"Trent Valley Internal Drainage Board",,2012-02-11,
109,109,2017-03-21T11:37:19Z,IDB95,IDB95,"Thorntree Internal Drainage Board",,,
108,108,2017-03-21T11:37:19Z,IDB94,IDB94,"Swavesey Internal Drainage Board",,,
107,107,2017-03-21T11:37:19Z,IDB93,IDB93,"Swale and Ure Internal Drainage Board",uksi-2012-1031,2012-01-14,
106,106,2017-03-21T11:37:19Z,IDB92,IDB92,"Swaffham Internal Drainage Board",,,
105,105,2017-03-21T11:37:19Z,IDB91,IDB91,"Sutton and Mepal Internal Drainage Board",,,
104,104,2017-03-21T11:37:19Z,IDB90,IDB90,"Stringside Internal Drainage Board",,,
103,103,2017-03-21T11:37:19Z,IDB89,IDB89,"Strine Internal Drainage Board",,,
102,102,2017-03-21T11:37:19Z,IDB88,IDB88,"Stoke Ferry Internal Drainage Board",,,
101,101,2017-03-21T11:37:19Z,IDB87,IDB87,"Sow and Penk Internal Drainage Board",,,
100,100,2017-03-21T11:37:19Z,IDB86,IDB86,"Southery and District Internal Drainage Board",,,
99,99,2017-03-21T11:37:19Z,IDB85,IDB85,"South Holland Internal Drainage Board",,,
98,98,2017-03-21T11:37:19Z,IDB84,IDB84,"South Holderness Internal Drainage Board",uksi-2013-819,2013-02-07,
97,97,2017-03-21T11:37:19Z,IDB83,IDB83,"Selby Area Internal Drainage Board",,,
96,96,2017-03-21T11:37:19Z,IDB82,IDB82,"Scunthorpe and Gainsborough Water Management Board",,2011-01-27,
95,95,2017-03-21T11:37:19Z,IDB81,IDB81,"Sawtry Internal Drainage Board",,,
94,94,2017-03-21T11:37:19Z,IDB80,IDB80,"Romney Marshes Area Internal Drainage Board",,,
93,93,2017-03-21T11:37:19Z,IDB79,IDB79,"River Stour (Kent) Internal Drainage Board",,,
92,92,2017-03-21T11:37:19Z,IDB78,IDB78,"River Lugg Internal Drainage Board",,,
91,91,2017-03-21T11:37:19Z,IDB77,IDB77,"Reedness and Swinefleet Drainage Board",,,
90,90,2017-03-21T11:37:19Z,IDB76,IDB76,"Rea Internal Drainage Board",,,
89,89,2017-03-21T11:37:19Z,IDB75,IDB75,"Rawcliffe Internal Drainage Board",,,
88,88,2017-03-21T11:37:19Z,IDB74,IDB74,"Ransonmoor District Drainage Commissioners",,,
87,87,2017-03-21T11:37:19Z,IDB73,IDB73,"Ramsey Upwood and Great Raveley Internal Drainage Board",,,
86,86,2017-03-21T11:37:19Z,IDB72,IDB72,"Ramsey Fourth (Middlemoor) Internal Drainage Board",,,
85,85,2017-03-21T11:37:19Z,IDB71,IDB71,"Ramsey First (Hollow) Internal Drainage Board",,,
84,84,2017-03-21T11:37:19Z,IDB70,IDB70,"Ramsey Internal Drainage Board",uksi-2005-2477,2005-10-01,
83,83,2017-03-21T11:37:19Z,IDB69,IDB69,"Parrett Internal Drainage Board",uksi-2005-431,2005-04-01,
82,82,2017-03-21T11:37:19Z,IDB68,IDB68,"Padnal and Waterden Internal Drainage Board",,,
81,81,2017-03-21T11:37:19Z,IDB67,IDB67,"Over and Willingham Internal Drainage Board",,,
80,80,2017-03-21T11:37:19Z,IDB66,IDB66,"Ouse and Humber Drainage Board",uksi-2012-1030,2012-02-11,
79,79,2017-03-21T11:37:19Z,IDB65,IDB65,"Ouse and Derwent Internal Drainage Board",,,
78,78,2017-03-21T11:37:19Z,IDB64,IDB64,"Old West Internal Drainage Board",,,
77,77,2017-03-21T11:37:19Z,IDB63,IDB63,"Northwold Internal Drainage Board",,,
76,76,2017-03-21T11:37:19Z,IDB62,IDB62,"North Somerset Levels Internal Drainage Board",uksi-2005-2725,2005-11-01,
75,75,2017-03-21T11:37:19Z,IDB61,IDB61,"North Level District Internal Drainage Board",uksi-2005-3601,2006-02-10,
74,74,2017-03-21T11:37:19Z,IDB60,IDB60,"North East Lindsey Drainage Board",,,
73,73,2017-03-21T11:37:19Z,IDB59,IDB59,"Norfolk Rivers Internal Drainage Board",,,
