index-entry-number,entry-number,entry-timestamp,key,jobcentre-district,name,jobcentre-group,start-date,end-date
66,66,2019-11-18T16:29:01Z,112,112,"Staffordshire and Derbyshire",21,,
65,65,2018-07-05T10:30:39Z,109,109,"Dorset, Wiltshire, Hampshire and Isle of Wight",24,,
64,64,2018-07-05T10:30:15Z,117,117,Kent,23,,
63,63,2018-07-05T10:29:49Z,127,127,"Bedfordshire and Hertfordshire",23,,
62,62,2018-07-05T10:29:19Z,106,106,"West London",22,,
61,61,2018-07-05T10:29:00Z,129,129,"South London",22,,
60,60,2018-07-05T10:28:32Z,120,120,"North London",22,,
59,59,2018-07-05T10:28:13Z,124,124,Essex,22,,
58,58,2018-07-05T10:27:50Z,119,119,"East London",22,,
57,57,2018-07-05T10:27:32Z,113,113,"East and South East Scotland",19,,
56,56,2018-07-05T10:27:01Z,111,111,"West of Scotland",18,,
55,55,2018-07-05T10:26:46Z,108,108,"Central Scotland",18,,
54,54,2018-07-05T10:26:06Z,125,125,"West Yorkshire",25,,
53,53,2018-07-05T10:25:48Z,121,121,"South Yorkshire",25,,
52,52,2018-07-05T10:25:25Z,105,105,"Cumbria and Lancashire",25,,
51,51,2018-07-05T10:24:46Z,118,118,Mercia,20,,
50,50,2018-07-05T10:24:19Z,131,131,"Black Country",20,,
49,49,2018-07-05T10:23:59Z,132,132,"Birmingham and Solihull",20,,
48,48,2018-07-05T10:23:38Z,134,134,"Leicestershire and Northamptonshire",21,,
47,47,2018-07-05T10:22:52Z,126,126,"East Anglia",21,,
46,46,2018-07-05T10:21:28Z,140,140,"Devon and Cornwall",24,2018-04-01,
45,45,2018-07-05T10:20:28Z,139,139,"Avon, Somerset and Gloucestershire",24,2018-04-01,
44,44,2018-07-05T10:19:23Z,122,122,"Devon, Cornwall and Somerset",13,,2018-03-31
43,43,2018-07-05T10:18:40Z,104,104,"Avon, Severn and Thames",13,,2018-03-31
42,42,2018-07-05T10:18:11Z,138,138,"Berkshire, Buckinghamshire and Oxfordshire",23,2018-04-01,
41,41,2018-07-05T10:17:45Z,137,137,"Surrey and Sussex",23,2018-04-01,
40,40,2018-07-05T10:17:19Z,128,128,"Berkshire, Surrey and Sussex",13,,2018-03-31
39,39,2018-07-05T10:16:38Z,136,136,"North East Scotland",19,2018-04-01,
38,38,2018-07-05T10:16:17Z,135,135,"Northern Scotland",19,2018-04-01,
37,37,2018-07-05T10:14:22Z,102,102,"North of Scotland",12,,2018-03-31
36,36,2018-07-05T10:13:52Z,116,116,"Lincolnshire, Nottinghamshire and Rutland",21,,
30,30,2018-02-01T13:30:23Z,115,115,"North and Mid Wales",11,,
29,29,2018-02-01T13:30:23Z,123,123,"North East Yorkshire and the Humber",17,,
28,28,2018-02-01T13:30:23Z,107,107,Merseyside,14,,
22,22,2018-02-01T13:30:23Z,110,110,"Greater Manchester",14,,
15,15,2018-02-01T13:30:23Z,103,103,"South East Wales",11,,
8,8,2018-02-01T13:30:23Z,133,133,Cheshire,14,,
5,5,2018-02-01T13:30:23Z,101,101,"South West Wales",11,,
3,3,2018-02-01T13:30:23Z,114,114,"Northumberland, Tyne and Wear",17,,
2,2,2018-02-01T13:30:23Z,130,130,"Durham and Tees Valley",17,,
