index-entry-number,entry-number,entry-timestamp,key,prison-estate,name,start-date,end-date
153,153,2017-05-12T16:28:28Z,WO,WO,"HMP Wolds",,2014-04
152,152,2017-05-12T16:28:28Z,WB,WB,"HMP Wellingborough",,2012-12-21
151,151,2017-05-12T16:28:28Z,WA,WA,"HMP The Weare",,2006
150,150,2017-05-12T16:28:28Z,SY,SY,"HMP Shrewsbury",,2013-03
149,149,2017-05-12T16:28:28Z,SM,SM,"HMP Shepton Mallet",,2013-02-28
148,148,2017-05-12T16:28:28Z,RD,RD,"HMP Reading",,2013-11
147,147,2017-05-12T16:28:28Z,PK,PK,"HMP Parkhurst",,2009-04
146,146,2017-05-12T16:28:28Z,NN,NN,"HMP Northallerton",,2013-12
145,145,2017-05-12T16:28:28Z,LA,LA,"HMP Lancaster",,2011-03
144,144,2017-05-12T16:28:28Z,LM,LM,"HMP Latchmere House",,2011-09
143,143,2017-05-12T16:28:28Z,PT,PT,"HMP Kingston",,2013-03-28
142,142,2017-05-12T16:28:28Z,KT,KT,"HMP Kennet",,2016-12
141,141,2017-05-12T16:28:28Z,HY,HY,"HMP Holloway",,2016-05
140,140,2017-05-12T16:28:28Z,HG,HG,"HMP Hewell Grange",,2008-06-25
139,139,2017-05-12T16:28:28Z,HR,HR,"HMIRC Haslar",,2015
138,138,2017-05-12T16:28:28Z,GL,GL,"HMP Gloucester",,2013
137,137,2017-05-12T16:28:28Z,EV,EV,"HMP Everthorpe",,2014-04
136,136,2017-05-12T16:28:28Z,NE,NE,"HMP Edmunds Hill",,2011-04
135,135,2017-05-12T16:28:28Z,DV,DV,"HMIRC Dover",,2015
134,134,2017-05-12T16:28:28Z,DR,DR,"HMP Dorchester",,2013-12
133,133,2017-05-12T16:28:28Z,CS,CS,"HMP Castington",,2011-10-31
132,132,2017-05-12T16:28:28Z,CY,CY,"HMP Canterbury",,2013-03-31
131,131,2017-05-12T16:28:28Z,CH,CH,"HMP Camp Hill",,2009-04
130,130,2017-05-12T16:28:28Z,BU,BU,"HMP Bullwood Hall",,2013-01
129,129,2017-05-12T16:28:28Z,BK,BK,"HMP Brockhill",,2008-06-25
128,128,2017-05-12T16:28:28Z,BD,BD,"HMP Blundeston",,2013-09
127,127,2017-05-12T16:28:28Z,BT,BT,"HMP Blakenhurst",,2008-06-25
126,126,2017-05-12T16:28:28Z,AW,AW,"HMP Ashwell",,2011-03
125,125,2017-05-12T16:28:28Z,AL,AL,"HMP Albany",,2009-04
124,124,2017-05-12T16:28:28Z,AK,AK,"HMP Acklington",,2011-10-31
123,123,2017-05-12T16:28:28Z,WM,WM,"HMP/YOI Wymott",,
122,122,2017-05-12T16:28:28Z,WS,WS,"HMP/YOI Wormwood Scrubs",,
121,121,2017-05-12T16:28:28Z,WH,WH,"HMP/YOI Woodhill",,
120,120,2017-05-12T16:28:28Z,WC,WC,"HMP/YOI Winchester",,
119,119,2017-05-12T16:28:28Z,WR,WR,"HMP Whitemoor",,
118,118,2017-05-12T16:28:28Z,WT,WT,"HMP Whatton",,
117,117,2017-05-12T16:28:28Z,WY,WY,"HMYOI Wetherby",,
116,116,2017-05-12T16:28:28Z,WN,WN,"HMYOI Werrington",,
115,115,2017-05-12T16:28:28Z,WE,WE,"HMP Wealstun",,
114,114,2017-05-12T16:28:28Z,WL,WL,"HMP Wayland",,
113,113,2017-05-12T16:28:28Z,WI,WI,"HMP/YOI Warren Hill",,
112,112,2017-05-12T16:28:28Z,WW,WW,"HMP/YOI Wandsworth",,
111,111,2017-05-12T16:28:28Z,WD,WD,"HMP Wakefield",,
110,110,2017-05-12T16:28:28Z,UK,UK,"HMP Usk and HMP/YOI Prescoed",,
109,109,2017-05-12T16:28:28Z,TC,TC,"HMP/YOI Thorn Cross",,
108,108,2017-05-12T16:28:28Z,VE,VE,"HMIRC The Verne",,
106,106,2017-05-12T16:28:28Z,MT,MT,"HMP The Mount",,
105,105,2017-05-12T16:28:28Z,TS,TS,"HMP/YOI Thameside",,
104,104,2017-05-12T16:28:28Z,SN,SN,"HMP/YOI Swinfen Hall",,
103,103,2017-05-12T16:28:28Z,SW,SW,"HMP/YOI Swansea",,
102,102,2017-05-12T16:28:28Z,SL,SL,"HMP Swaleside",,
101,101,2017-05-12T16:28:28Z,SU,SU,"HMP/YOI Sudbury",,
100,100,2017-05-12T16:28:28Z,ST,ST,"HMP/YOI Styal",,
99,99,2017-05-12T16:28:28Z,SH,SH,"HMP/YOI Stoke Heath",,
98,98,2017-05-12T16:28:28Z,SK,SK,"HMP Stocken",,
97,97,2017-05-12T16:28:28Z,EH,EH,"HMP/YOI Standford Hill",,
96,96,2017-05-12T16:28:28Z,SF,SF,"HMP Stafford",,
95,95,2017-05-12T16:28:28Z,SD,SD,"HMP/YOI Send",,
94,94,2017-05-12T16:28:28Z,RH,RH,"HMP Rye Hill",,
93,93,2017-05-12T16:28:28Z,RC,RC,"HMP/YOI Rochester",,
92,92,2017-05-12T16:28:28Z,RS,RS,"HMP Risley",,
91,91,2017-05-12T16:28:28Z,RN,RN,"HMP Ranby",,
90,90,2017-05-12T16:28:28Z,PN,PN,"HMP/YOI Preston",,
89,89,2017-05-12T16:28:28Z,PD,PD,"HMP/YOI Portland",,
88,88,2017-05-12T16:28:28Z,PB,PB,"HMP/YOI Peterborough",,
87,87,2017-05-12T16:28:28Z,PV,PV,"HMP/YOI Pentonville",,
86,86,2017-05-12T16:28:28Z,PR,PR,"HMP/YOI Parc",,
85,85,2017-05-12T16:28:28Z,ON,ON,"HMP Onley",,
84,84,2017-05-12T16:28:28Z,OW,OW,"HMP Oakwood",,
83,83,2017-05-12T16:28:28Z,NM,NM,"HMP/YOI Nottingham",,
82,82,2017-05-12T16:28:28Z,NW,NW,"HMP/YOI Norwich",,
81,81,2017-05-12T16:28:28Z,NL,NL,"HMP Northumberland",,
80,80,2017-05-12T16:28:28Z,NS,NS,"HMP North Sea Camp",,
79,79,2017-05-12T16:28:28Z,NH,NH,"HMP/YOI New Hall",,
78,78,2017-05-12T16:28:28Z,MH,MH,"HMIRC Morton Hall",,
76,76,2017-05-12T16:28:28Z,MD,MD,"HMP/YOI Moorland",,
75,75,2017-05-12T16:28:28Z,MW,MW,"Medway STC",,
74,74,2017-05-12T16:28:28Z,MR,MR,"HMP/YOI Manchester",,
73,73,2017-05-12T16:28:28Z,MS,MS,"HMP Maidstone",,
72,72,2017-05-12T16:28:28Z,LG,LG,"HMP Lowdham Grange",,
71,71,2017-05-12T16:28:28Z,LN,LN,"HMP/YOI Low Newton",,
70,70,2017-05-12T16:28:28Z,LL,LL,"HMP Long Lartin",,
69,69,2017-05-12T16:28:28Z,LP,LP,"HMP Liverpool",,
68,68,2017-05-12T16:28:28Z,LT,LT,"HMP Littlehey",,
67,67,2017-05-12T16:28:28Z,LH,LH,"HMP Lindholme",,
66,66,2017-05-12T16:28:28Z,LI,LI,"HMP/YOI Lincoln",,
65,65,2017-05-12T16:28:28Z,LY,LY,"HMP Leyhill",,
64,64,2017-05-12T16:28:28Z,LW,LW,"HMP/YOI Lewes",,
63,63,2017-05-12T16:28:28Z,LC,LC,"HMP Leicester",,
62,62,2017-05-12T16:28:28Z,LE,LE,"HMP Leeds",,
61,61,2017-05-12T16:28:28Z,LF,LF,"HMP Lancaster Farms",,
60,60,2017-05-12T16:28:28Z,KV,KV,"HMP/YOI Kirklevington Grange",,
59,59,2017-05-12T16:28:28Z,KM,KM,"HMP Kirkham",,
58,58,2017-05-12T16:28:28Z,IW,IW,"HMP/YOI Isle of Wight",,
57,57,2017-05-12T16:28:28Z,IS,IS,"HMP/YOI Isis",,
56,56,2017-05-12T16:28:28Z,HC,HC,"HMP Huntercombe",,
55,55,2017-05-12T16:28:28Z,HM,HM,"HMP Humber",,
54,54,2017-05-12T16:28:28Z,HL,HL,"HMP/YOI Hull",,
53,53,2017-05-12T16:28:28Z,HH,HH,"HMP/YOI Holme House",,
52,52,2017-05-12T16:28:28Z,HB,HB,"HMP/YOI Hollesley Bay",,
51,51,2017-05-12T16:28:28Z,HI,HI,"HMP/YOI Hindley",,
50,50,2017-05-12T16:28:28Z,HP,HP,"HMP Highpoint",,
49,49,2017-05-12T16:28:28Z,HO,HO,"HMP/YOI High Down",,
48,48,2017-05-12T16:28:28Z,HE,HE,"HMP/YOI Hewell",,
47,47,2017-05-12T16:28:28Z,HV,HV,"HMP Haverigg",,
46,46,2017-05-12T16:28:28Z,HD,HD,"HMP/YOI Hatfield",,
45,45,2017-05-12T16:28:28Z,GM,GM,"HMP Guys Marsh",,
44,44,2017-05-12T16:28:28Z,GN,GN,"HMP Grendon/Spring Hill",,
43,43,2017-05-12T16:28:28Z,GP,GP,"HMP/YOI Glen Parva",,
42,42,2017-05-12T16:28:28Z,GT,GT,"HMP Gartree",,
41,41,2017-05-12T16:28:28Z,GH,GH,"HMP Garth",,
40,40,2017-05-12T16:28:28Z,FN,FN,"HMP Full Sutton",,
39,39,2017-05-12T16:28:28Z,FK,FK,"HMP Frankland",,
38,38,2017-05-12T16:28:28Z,FH,FH,"HMP/YOI Foston Hall",,
37,37,2017-05-12T16:28:28Z,FB,FB,"HMP/YOI Forest Bank",,
36,36,2017-05-12T16:28:28Z,FD,FD,"HMP Ford",,
35,35,2017-05-12T16:28:28Z,FM,FM,"HMYOI Feltham",,
34,34,2017-05-12T16:28:28Z,FS,FS,"HMP Featherstone",,
33,33,2017-05-12T16:28:28Z,EX,EX,"HMP/YOI Exeter",,
32,32,2017-05-12T16:28:28Z,EE,EE,"HMP Erlestoke",,
31,31,2017-05-12T16:28:28Z,EY,EY,"HMP/YOI Elmley",,
30,30,2017-05-12T16:28:28Z,EW,EW,"HMP/YOI Eastwood Park",,
29,29,2017-05-12T16:28:28Z,ES,ES,"HMP/YOI East Sutton Park",,
