index-entry-number,entry-number,entry-timestamp,key,"qualification-sector-subject-area","parent-qualification-sector-subject-area",name,start-date,end-date
65,65,2018-01-16T15:17:11Z,15.5,15.5,15,"Law and legal services",,
64,64,2018-01-16T15:17:11Z,15.4,15.4,15,"Marketing and sales",,
63,63,2018-01-16T15:17:11Z,15.3,15.3,15,"Business management",,
62,62,2018-01-16T15:17:11Z,15.2,15.2,15,Administration,,
61,61,2018-01-16T15:17:11Z,15.1,15.1,15,"Accounting and finance",,
60,60,2018-01-16T15:17:11Z,14.2,14.2,14,"Preparation for work",,
59,59,2018-01-16T15:17:11Z,14.1,14.1,14,"Foundations for learning and life",,
58,58,2018-01-16T15:17:11Z,13.2,13.2,13,"Direct learning support",,
57,57,2018-01-16T15:17:11Z,13.1,13.1,13,"Teaching and lecturing",,
56,56,2018-01-16T15:17:11Z,12.3,12.3,12,Linguistics,,
55,55,2018-01-16T15:17:11Z,12.2,12.2,12,"Other languages, literature and culture",,
54,54,2018-01-16T15:17:11Z,12.1,12.1,12,"Languages, literature and culture of the British Isles",,
53,53,2018-01-16T15:17:11Z,11.5,11.5,11,Anthropology,,
52,52,2018-01-16T15:17:11Z,11.4,11.4,11,Economics,,
51,51,2018-01-16T15:17:11Z,11.3,11.3,11,Politics,,
50,50,2018-01-16T15:17:11Z,11.2,11.2,11,"Sociology and social policy",,
49,49,2018-01-16T15:17:11Z,11.1,11.1,11,Geography,,
48,48,2018-01-16T15:17:11Z,10.4,10.4,10,"Theology and religious studies",,
47,47,2018-01-16T15:17:11Z,10.3,10.3,10,Philosophy,,
46,46,2018-01-16T15:17:11Z,10.2,10.2,10,"Archaeology and archaeological sciences",,
45,45,2018-01-16T15:17:11Z,10.1,10.1,10,History,,
44,44,2018-01-16T15:17:11Z,09.4,09.4,09,"Publishing and information services",,
43,43,2018-01-16T15:17:11Z,09.3,09.3,09,"Media and communication",,
42,42,2018-01-16T15:17:11Z,09.2,09.2,09,"Crafts, creative arts and design",,
41,41,2018-01-16T15:17:11Z,09.1,09.1,09,"Performing arts",,
40,40,2018-01-16T15:17:11Z,08.2,08.2,08,"Travel and tourism",,
39,39,2018-01-16T15:17:11Z,08.1,08.1,08,"Sport, leisure and recreation",,
38,38,2018-01-16T15:17:11Z,07.4,07.4,07,"Hospitality and catering",,
37,37,2018-01-16T15:17:11Z,07.3,07.3,07,"Service enterprises",,
36,36,2018-01-16T15:17:11Z,07.2,07.2,07,"Warehousing and distribution",,
35,35,2018-01-16T15:17:11Z,07.1,07.1,07,"Retailing and wholesaling",,
34,34,2018-01-16T15:17:11Z,06.2,06.2,06,"ICT for users",,
33,33,2018-01-16T15:17:11Z,06.1,06.1,06,"ICT practitioners",,
32,32,2018-01-16T15:17:11Z,05.3,05.3,05,"Urban, rural and regional planning",,
31,31,2018-01-16T15:17:11Z,05.2,05.2,05,"Building and construction",,
30,30,2018-01-16T15:17:11Z,05.1,05.1,05,Architecture,,
29,29,2018-01-16T15:17:11Z,04.3,04.3,04,"Transportation operations and maintenance",,
28,28,2018-01-16T15:17:11Z,04.2,04.2,04,"Manufacturing technologies",,
27,27,2018-01-16T15:17:11Z,04.1,04.1,04,Engineering,,
26,26,2018-01-16T15:17:11Z,03.4,03.4,03,"Environmental conservation",,
25,25,2018-01-16T15:17:11Z,03.3,03.3,03,"Animal care and veterinary science",,
24,24,2018-01-16T15:17:11Z,03.2,03.2,03,"Horticulture and forestry",,
23,23,2018-01-16T15:17:11Z,03.1,03.1,03,Agriculture,,
22,22,2018-01-16T15:17:11Z,02.2,02.2,02,"Mathematics and statistics",,
21,21,2018-01-16T15:17:11Z,02.1,02.1,02,Science,,
20,20,2018-01-16T15:17:11Z,01.5,01.5,01,"Child development and well-being",,
19,19,2018-01-16T15:17:11Z,01.4,01.4,01,"Public services",,
18,18,2018-01-16T15:17:11Z,01.3,01.3,01,"Health and social care",,
17,17,2018-01-16T15:17:11Z,01.2,01.2,01,"Nursing and subjects and vocations allied to medicine",,
16,16,2018-01-16T15:17:11Z,01.1,01.1,01,"Medicine and Dentistry",,
15,15,2018-01-16T15:17:11Z,15,15,,"Business, Administration and Law",,
14,14,2018-01-16T15:17:11Z,14,14,,"Preparation for Life and Work",,
13,13,2018-01-16T15:17:11Z,13,13,,"Education and Training",,
12,12,2018-01-16T15:17:11Z,12,12,,"Languages, Literature and Culture",,
11,11,2018-01-16T15:17:11Z,11,11,,"Social Sciences",,
10,10,2018-01-16T15:17:11Z,10,10,,"History, Philosophy and Theology",,
9,9,2018-01-16T15:17:11Z,09,09,,"Arts, Media and Publishing",,
8,8,2018-01-16T15:17:11Z,08,08,,"Leisure, Travel and Tourism",,
7,7,2018-01-16T15:17:11Z,07,07,,"Retail and Commercial Enterprise",,
6,6,2018-01-16T15:17:11Z,06,06,,"Information and Communication Technology",,
5,5,2018-01-16T15:17:11Z,05,05,,"Construction, Planning and the Built Environment",,
4,4,2018-01-16T15:17:11Z,04,04,,"Engineering and Manufacturing Technologies",,
3,3,2018-01-16T15:17:11Z,03,03,,"Agriculture, Horticulture and Animal Care",,
2,2,2018-01-16T15:17:11Z,02,02,,"Science and Mathematics",,
1,1,2018-01-16T15:17:11Z,01,01,,"Health, Public Services and Care",,
