index-entry-number,entry-number,entry-timestamp,key,register,text,registry,phase,copyright,fields
75,75,2019-02-07T14:35:35Z,"clinical-commissioning-group","clinical-commissioning-group","Clinical Commissioning Groups in England",nhs-digital,beta,,"clinical-commissioning-group;name;start-date;end-date"
74,74,2018-12-19T10:39:48Z,"further-education-college-uk","further-education-college-uk","Further education colleges in the United Kingdom","department-for-international-trade",beta,,"further-education-college-uk;name;region;start-date;end-date"
73,73,2018-12-19T10:34:35Z,"further-education-college-region-uk","further-education-college-region-uk","Regions in the United Kingdom where a further education college is located","department-for-international-trade",beta,,"further-education-college-region-uk;name;start-date;end-date"
72,72,2018-12-13T16:19:41Z,school-type-eng,school-type-eng,"Types of school in England",department-for-education,beta,,"school-type-eng;name;start-date;end-date"
69,69,2018-11-01T13:54:08Z,"information-sharing-agreement-specified-person-0001","information-sharing-agreement-specified-person-0001","Specified persons for the information sharing agreements under the public service delivery, debt, fraud and civil registration provisions within the Digital Economy Act 2017","department-for-digital-culture-media-sport",beta,,"information-sharing-agreement-specified-person-0001;name;relevant-powers;start-date;end-date"
68,68,2018-11-01T13:53:31Z,"information-sharing-agreement-powers-and-objectives-0001","information-sharing-agreement-powers-and-objectives-0001","List of information sharing powers and objectives available under chapters 1, 2, 3 and 4 of Part 5 of the Digital Economy Act 2017","department-for-digital-culture-media-sport",beta,,"information-sharing-agreement-powers-and-objectives-0001;name;start-date;end-date"
67,67,2018-11-01T13:52:12Z,"information-sharing-agreement-0001","information-sharing-agreement-0001","Information sharing agreements under the public service delivery, debt, fraud and civil registration provisions within the Digital Economy Act 2017","department-for-digital-culture-media-sport",beta,,"information-sharing-agreement-0001;name;purpose;information-sharing-benefits;legal-power-disclosure;disclosed-information;controllers;controller-names;information-sharing-method;processors;processor-names;retention-period;start-date;end-date;review-date;contact;areas;area-names"
66,66,2018-07-03T09:56:50Z,"ddat-profession-capability-framework","ddat-profession-capability-framework","The roles in the Digital, Data and Technology Profession Capability Framework and detailed descriptions of the types and level of skills expected for each role","government-digital-service",beta,,"ddat-profession-capability-framework;profession-capability-framework-skill-type;profession-capability-framework-job-family;profession-capability-framework-role;profession-capability-framework-role-level;profession-capability-framework-skill;profession-capability-framework-level;start-date;end-date"
65,65,2018-07-03T09:56:30Z,"ddat-profession-capability-framework-skill","ddat-profession-capability-framework-skill","Skills for use in the Digital, Data and Technology Profession Capability Framework","government-digital-service",beta,,"ddat-profession-capability-framework-skill;name;description;start-date;end-date"
64,64,2018-07-03T09:56:00Z,"ddat-profession-capability-framework-skill-type","ddat-profession-capability-framework-skill-type","Types of skill for use in the Digital, Data and Technology Profession Capability Framework","government-digital-service",beta,,"ddat-profession-capability-framework-skill-type;name;start-date;end-date"
63,63,2018-07-03T09:55:37Z,"ddat-profession-capability-framework-skill-level","ddat-profession-capability-framework-skill-level","The skills, levels, and appropriate descriptions used in the Digital Data and Technology Profession Capability Framework","government-digital-service",beta,,"ddat-profession-capability-framework-skill-level;profession-capability-framework-skill;profession-capability-framework-level;description;start-date;end-date"
