index-entry-number,entry-number,entry-timestamp,key,registration-district,name,name-cy,start-date,end-date
180,180,2017-03-20T15:10:43Z,897,897,Swansea,Abertawe,,
179,179,2017-03-20T15:10:43Z,896,896,"Neath Port Talbot","Castell-nedd Port Talbot",,
178,178,2017-03-20T15:10:43Z,891,891,"Vale of Glamorgan","Bro Morgannwg",,
177,177,2017-03-20T15:10:43Z,890,890,Cardiff,Caerdydd,,
176,176,2017-03-20T15:10:43Z,882,882,Powys,,,
175,175,2017-03-20T15:10:43Z,864,864,"Rhondda Cynon Taf",,,
174,174,2017-03-20T15:10:43Z,863,863,Caerphilly,Caerffili,,
173,173,2017-03-20T15:10:43Z,861,861,Bridgend,"Pen-y-bont ar Ogwr",,
172,172,2017-03-20T15:10:43Z,860,860,"Merthyr Tydfil","Merthyr Tudful",,
171,171,2017-03-20T15:10:43Z,857,857,"Isle of Anglesey","Ynys Môn",,
170,170,2017-03-20T15:10:43Z,855,855,Gwynedd,,,
169,169,2017-03-20T15:10:43Z,846,846,Conwy,,,
168,168,2017-03-20T15:10:43Z,839,839,Monmouthshire,"Sir Fynwy",,
167,167,2017-03-20T15:10:43Z,837,837,Torfaen,Tor-faen,,
166,166,2017-03-20T15:10:43Z,836,836,Newport,Casnewydd,,
165,165,2017-03-20T15:10:43Z,833,833,"Blaenau Gwent",,,
164,164,2017-03-20T15:10:43Z,823,823,Ceredigion,,,
163,163,2017-03-20T15:10:43Z,822,822,Carmarthenshire,"Sir Gaerfyrddin",,
162,162,2017-03-20T15:10:43Z,819,819,Pembrokeshire,"Sir Benfro",,
161,161,2017-03-20T15:10:43Z,813,813,Wrexham,Wrecsam,,
160,160,2017-03-20T15:10:43Z,811,811,"Denbighshire North","Gogledd Sir Ddinbych",,
159,159,2017-03-20T15:10:43Z,805,805,"Denbighshire South","De Sir Ddinbych",,
158,158,2017-03-20T15:10:43Z,804,804,Flintshire,"Sir y Fflint",,
157,157,2017-03-20T15:10:43Z,799,799,Wiltshire,,,
156,156,2017-03-20T15:10:43Z,796,796,Swindon,,,
155,155,2017-03-20T15:10:43Z,785,785,"West Sussex",,,
154,154,2017-03-20T15:10:43Z,776,776,Warwickshire,,,
153,153,2017-03-20T15:10:43Z,759,759,Surrey,,,
152,152,2017-03-20T15:10:43Z,748,748,Suffolk,,,
151,151,2017-03-20T15:10:43Z,738,738,Staffordshire,,,
150,150,2017-03-20T15:10:43Z,737,737,Stoke-on-Trent,,,
149,149,2017-03-20T15:10:43Z,722,722,Somerset,,,
148,148,2017-03-20T15:10:43Z,717,717,Shropshire,,,
147,147,2017-03-20T15:10:43Z,716,716,"Telford and Wrekin",,,
146,146,2017-03-20T15:10:43Z,695,695,Oxfordshire,,,
145,145,2017-03-20T15:10:43Z,692,692,Nottinghamshire,,,
144,144,2017-03-20T15:10:43Z,690,690,Rushcliffe,,,2012-04-01
143,143,2017-03-20T15:10:43Z,689,689,Nottingham,,,
142,142,2017-03-20T15:10:43Z,688,688,Newark,,,2012-04-01
141,141,2017-03-20T15:10:43Z,687,687,Mansfield,,,2012-04-01
140,140,2017-03-20T15:10:43Z,686,686,Bassetlaw,,,2012-04-01
139,139,2017-03-20T15:10:43Z,685,685,Basford,,,2012-04-01
138,138,2017-03-20T15:10:43Z,681,681,Northumberland,,,
137,137,2017-03-20T15:10:43Z,674,674,Northamptonshire,,,
136,136,2017-03-20T15:10:43Z,661,661,York,,,
135,135,2017-03-20T15:10:43Z,650,650,"North Yorkshire",,,
134,134,2017-03-20T15:10:43Z,642,642,Norfolk,,,
133,133,2017-03-20T15:10:43Z,609,609,Lincolnshire,,,
