index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-local-government-district-nir",local-authority-nir,start-date,end-date
13,13,2018-04-09T13:16:37Z,N09000008,N09000008,MEA,2015-04-01,
12,12,2018-04-09T13:15:46Z,N09000005,N09000005,DRS,2015-04-01,
11,11,2018-01-19T12:47:57Z,N09000001,N09000001,ANN,2015-04-01,
10,10,2018-01-19T12:47:57Z,N09000002,N09000002,ABC,2015-04-01,
9,9,2018-01-19T12:47:57Z,N09000003,N09000003,BFS,2015-04-01,
8,8,2018-01-19T12:47:57Z,N09000004,N09000004,CCG,2015-04-01,
6,6,2018-01-19T12:47:57Z,N09000006,N09000006,FMO,2015-04-01,
5,5,2018-01-19T12:47:57Z,N09000007,N09000007,LBC,2015-04-01,
3,3,2018-01-19T12:47:57Z,N09000009,N09000009,MUL,2015-04-01,
2,2,2018-01-19T12:47:57Z,N09000010,N09000010,NMD,2015-04-01,
1,1,2018-01-19T12:47:57Z,N09000011,N09000011,AND,2015-04-01,
