index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-registration-district-eng",registration-district,name,start-date,end-date
219,219,2017-11-29T13:39:19Z,E28000201,E28000201,,Worthing,2009-01-01,2010-03-31
218,218,2017-11-29T13:39:19Z,E28000200,E28000200,,Horsham,2009-01-01,2010-03-31
217,217,2017-11-29T13:39:19Z,E28000199,E28000199,,"Haywards Heath",2009-01-01,2010-03-31
216,216,2017-11-29T13:39:19Z,E28000198,E28000198,,Crawley,2009-01-01,2010-03-31
215,215,2017-11-29T13:39:19Z,E28000197,E28000197,,Chichester,2009-01-01,2010-03-31
214,214,2017-11-29T13:39:19Z,E28000196,E28000196,,"Warwickshire South",2008-12-15,2008-12-16
213,213,2017-11-29T13:39:19Z,E28000195,E28000195,,"Warwickshire East",2008-12-15,2008-12-16
212,212,2017-11-29T13:39:19Z,E28000194,E28000194,,"Warwickshire North",2008-12-15,2008-12-16
211,211,2017-11-29T13:39:19Z,E28000192,E28000192,,Waveney,2009-01-01,2010-11-01
210,210,2017-11-29T13:39:19Z,E28000191,E28000191,,Sudbury,2009-01-01,2010-11-01
209,209,2017-11-29T13:39:19Z,E28000190,E28000190,,Ipswich,2009-01-01,2010-11-01
208,208,2017-11-29T13:39:19Z,E28000189,E28000189,,"Gipping and Hartismere",2009-01-01,2010-11-01
207,207,2017-11-29T13:39:19Z,E28000188,E28000188,,Deben,2009-01-01,2010-11-01
206,206,2017-11-29T13:39:19Z,E28000187,E28000187,,"Bury St. Edmunds",2009-01-01,2010-11-01
205,205,2017-11-29T13:39:19Z,E28000173,E28000173,,Wellingborough,2009-01-01,2010-09-30
204,204,2017-11-29T13:39:19Z,E28000172,E28000172,,"Towcester and Brackley",2009-01-01,2010-09-30
203,203,2017-11-29T13:39:19Z,E28000171,E28000171,,"Oundle and Thrapston",2009-01-01,2010-09-30
202,202,2017-11-29T13:39:19Z,E28000170,E28000170,,Northampton,2009-01-01,2010-09-30
201,201,2017-11-29T13:39:19Z,E28000169,E28000169,,Kettering,2009-01-01,2010-09-30
200,200,2017-11-29T13:39:19Z,E28000168,E28000168,,Daventry,2009-01-01,2010-09-30
199,199,2017-11-29T13:39:19Z,E28000167,E28000167,,Corby,2009-01-01,2010-09-30
198,198,2017-11-29T13:39:19Z,E28000164,E28000164,,Wayland,2009-01-01,2011-03-31
197,197,2017-11-29T13:39:19Z,E28000163,E28000163,,Norwich,2009-01-01,2011-03-31
196,196,2017-11-29T13:39:19Z,E28000162,E28000162,,"North Walsham",2009-01-01,2011-03-31
195,195,2017-11-29T13:39:19Z,E28000161,E28000161,,"King's Lynn",2009-01-01,2011-03-31
194,194,2017-11-29T13:39:19Z,E28000160,E28000160,,"Great Yarmouth",2009-01-01,2011-03-31
193,193,2017-11-29T13:39:19Z,E28000159,E28000159,,Fakenham,2009-01-01,2011-03-31
192,192,2017-11-29T13:39:19Z,E28000158,E28000158,,"East Dereham",2009-01-01,2011-03-31
191,191,2017-11-29T13:39:19Z,E28000157,E28000157,,Downham,2009-01-01,2011-03-31
190,190,2017-11-29T13:39:19Z,E28000156,E28000156,,Depwade,2009-01-01,2011-03-31
189,189,2017-11-29T13:39:19Z,E28000143,E28000143,548,,2009-01-01,
188,188,2017-11-29T13:39:19Z,E28000134,E28000134,,Uttlesford,2009-01-01,2010-01-31
187,187,2017-11-29T13:39:19Z,E28000131,E28000131,,Harlow,2009-01-01,2010-01-31
186,186,2017-11-29T13:39:19Z,E28000130,E28000130,,"Epping Forest",2009-01-01,2010-01-31
185,185,2017-11-29T13:39:19Z,E28000129,E28000129,,Colchester,2009-01-01,2010-01-31
184,184,2017-11-29T13:39:19Z,E28000128,E28000128,,Chelmsford,2009-01-01,2010-01-31
183,183,2017-11-29T13:39:19Z,E28000127,E28000127,,"Castle Point and Rochford",2009-01-01,2010-01-31
182,182,2017-11-29T13:39:19Z,E28000126,E28000126,,Brentwood,2009-01-01,2010-01-31
181,181,2017-11-29T13:39:19Z,E28000125,E28000125,,Braintree,2009-01-01,2010-01-31
180,180,2017-11-29T13:39:19Z,E28000114,E28000114,,"South Derbyshire",2009-01-01,2013-01-16
179,179,2017-11-29T13:39:19Z,E28000113,E28000113,,Erewash,2009-01-01,2013-01-16
178,178,2017-11-29T13:39:19Z,E28000112,E28000112,,"High Peak",2009-01-01,2013-01-16
177,177,2017-11-29T13:39:19Z,E28000110,E28000110,,Chesterfield,2009-01-01,2013-01-16
176,176,2017-11-29T13:39:19Z,E28000109,E28000109,,"Amber Valley",2009-01-01,2013-01-16
175,175,2017-11-29T13:39:19Z,E28000108,E28000108,,Bakewell,2009-01-01,2013-01-16
174,174,2017-11-29T13:39:19Z,E28000107,E28000107,,Ashbourne,2009-01-01,2013-01-16
173,173,2017-11-29T13:39:19Z,E28000106,E28000106,,Wigton,2009-01-01,2011-11-30
172,172,2017-11-29T13:39:19Z,E28000105,E28000105,,Whitehaven,2009-01-01,2011-11-30
171,171,2017-11-29T13:39:19Z,E28000104,E28000104,,Ulverston,2009-01-01,2011-11-30
170,170,2017-11-29T13:39:19Z,E28000103,E28000103,,Penrith,2009-01-01,2011-11-30
169,169,2017-11-29T13:39:19Z,E28000102,E28000102,,Millom,2009-01-01,2011-11-30
