index-entry-number,entry-number,entry-timestamp,key,statistical-geography,name,area,organisation,register,start-date,end-date
175,175,2018-01-03T10:39:30Z,E09,E09,"London Boroughs",,"government-organisation:D4","statistical-geography-london-borough-eng",2009-01-01,
174,174,2018-01-03T10:39:03Z,E08,E08,"Metropolitan Districts",,"government-organisation:D4","statistical-geography-metropolitan-district-eng",2009-01-01,
173,173,2018-01-03T10:38:39Z,E28,E28,"Registration Districts",,"government-organisation:D303","statistical-geography-registration-district-eng",2009-01-01,
172,172,2018-01-03T10:38:09Z,W20,W20,"Registration Districts",,"government-organisation:D303","statistical-geography-registration-district-wls",2009-01-01,
171,171,2018-01-03T10:37:40Z,E07,E07,"Non-metropolitan Districts",,"government-organisation:D4","statistical-geography-non-metropolitan-district-eng",2009-01-01,
170,170,2018-01-03T10:37:01Z,E06,E06,"Unitary Authorities",,"government-organisation:D4","statistical-geography-unitary-authority-eng",2009-01-01,
169,169,2017-12-22T10:08:24Z,E10,E10,Counties,,"government-organisation:D4","statistical-geography-county-eng",2009-01-01,
167,167,2017-08-04T15:14:55Z,J01,J01,"Major Towns and Cities",,"government-organisation:D303",,2016-04-22,
166,166,2017-08-04T15:14:55Z,M01,M01,"Primary Healthcare Directorate",territory:IM,"government-organisation:PB1202",,2010-05-06,
165,165,2017-08-04T15:14:55Z,M00,M00,"Strategic Health Authorities",territory:IM,"government-organisation:PB1202",,2009-01-01,
164,164,2017-08-04T15:14:55Z,M83,M83,"British Crown Dependency",territory:IM,"government-organisation:D303",,2009-01-01,
163,163,2017-08-04T15:14:55Z,L00,L00,"Strategic Health Authorities","territory:JE;territory:GG","government-organisation:PB1202",,2009-01-01,
162,162,2017-08-04T15:14:55Z,L93,L93,"British Crown Dependencies","territory:JE;territory:GG","government-organisation:D303",,2009-01-01,
161,161,2017-08-04T15:14:55Z,K06,K06,"Built Up Area sub divisions",,"government-organisation:D303",,2013-06-27,
160,160,2017-08-04T15:14:55Z,K05,K05,"Built Up Areas",,"government-organisation:D303",,2013-06-27,
159,159,2017-08-04T15:14:55Z,K04,K04,"England and Wales",,"government-organisation:D303",,2010-10-31,
158,158,2017-08-04T15:14:55Z,K03,K03,"Great Britain",,"government-organisation:D303",,2010-10-31,
157,157,2017-08-04T15:14:55Z,K02,K02,"United Kingdom",country:GB,"government-organisation:D303",,2010-10-31,
156,156,2017-08-04T15:14:55Z,K01,K01,"Travel to Work Areas",country:GB,"government-organisation:D303",,2009-01-01,
155,155,2017-08-04T15:14:55Z,N33,N33,"Northern Ireland Fire and Rescue Service Districts",,,,2016-02-01,
154,154,2017-08-04T15:14:55Z,N32,N32,"Northern Ireland Fire and Rescue Service Areas",,,,2016-02-01,
153,153,2017-08-04T15:14:55Z,N31,N31,"Northern Ireland Fire and Rescue Service",,,,2016-02-01,
152,152,2017-08-04T15:14:55Z,N24,N24,"Police Force Districts",,"government-organisation:OT657",,2016-02-01,
151,151,2017-08-04T15:14:55Z,N23,N23,"Police Force Areas",,"government-organisation:OT657",,2016-02-01,
150,150,2017-08-04T15:14:55Z,N19,N19,"Workplace Zones",,"government-organisation:EA701",,2016-10-20,
149,149,2017-08-04T15:14:55Z,N12,N12,"Travel to Work Areas",,"government-organisation:D303",,2015-07-31,
148,148,2017-08-04T15:14:55Z,N11,N11,"Settlement 2015",,"government-organisation:EA701",,2015-01-29,
147,147,2017-08-04T15:14:55Z,N10,N10,"District Electoral Areas",,"government-organisation:OT428",,2014-05-22,
146,146,2017-08-04T15:14:55Z,N09,N09,"Local Government Districts",,"government-organisation:EA701",,2015-04-01,
145,145,2017-08-04T15:14:55Z,N08,N08,"Electoral Wards",,"government-organisation:EA701",,2015-04-01,
144,144,2017-08-04T15:14:55Z,N07,N07,"European Electoral Regions",,"government-organisation:OT428",,2010-05-06,
143,143,2017-08-04T15:14:55Z,N06,N06,"Westminster Parliamentary Constituencies",,"government-organisation:OT428",,2010-05-06,
142,142,2017-08-04T15:14:55Z,N00,N00,"Small Areas",,"government-organisation:EA701",,2013-01-31,
141,141,2017-08-04T15:14:55Z,N92,N92,Country,,"government-organisation:D303",,2010-05-06,
140,140,2017-08-04T15:14:55Z,S40,S40,"Scottish Fire and Rescue Service Delivery Areas",,"government-organisation:DA1020",,2016-02-01,
139,139,2017-08-04T15:14:55Z,S39,S39,"Scottish Fire and Rescue Local Senior Officer Areas",,"government-organisation:DA1020",,2016-02-01,
138,138,2017-08-04T15:14:55Z,S38,S38,"Scottish Fire and Rescue Service",,"government-organisation:DA1020",,2016-02-01,
137,137,2017-08-04T15:14:55Z,S37,S37,"Integration Authorities",,,,2016-02-01,
136,136,2017-08-04T15:14:55Z,S36,S36,"Island Groups",,"government-organisation:OT1075",,2016-02-01,
135,135,2017-08-04T15:14:55Z,S35,S35,"Civil Parish",,"government-organisation:OT1075",,2016-02-01,
134,134,2017-08-04T15:14:55Z,S34,S34,"Workplace Zones",,"government-organisation:OT1075",,2016-10-20,
133,133,2017-08-04T15:14:55Z,S33,S33,"Broad Rental Market Areas",,"government-organisation:DA1020",,2015-07-09,
132,132,2017-08-04T15:14:55Z,S32,S32,"Scottish Police Divisions",,"government-organisation:DA1020",,2013-11-01,
131,131,2017-08-04T15:14:55Z,S31,S31,"Local Administrative Units 2",,"government-organisation:DA1020",,2013-11-01,
