index-entry-number,entry-number,entry-timestamp,key,territory,name,official-name,start-date,end-date
80,80,2016-12-16T13:10:16Z,ES-CE,ES-CE,Ceuta,Ceuta,,
79,79,2016-12-15T12:15:07Z,EH,EH,"Western Sahara","Western Sahara",,
78,78,2016-12-15T12:15:07Z,WF,WF,"Wallis and Futuna","Territory of the Wallis and Futuna Islands",,
77,77,2016-12-15T12:15:07Z,UM-79,UM-79,"Wake Island","Wake Island",,
76,76,2016-12-15T12:15:07Z,VI,VI,"United States Virgin Islands","Virgin Islands of the United States",,
75,75,2016-12-15T12:15:07Z,AE-UQ,AE-UQ,"Umm al-Quwain","Emirate of Umm al-Quwain",,
74,74,2016-12-15T12:15:07Z,TC,TC,"Turks and Caicos Islands","Turks and Caicos Islands",,
73,73,2016-12-15T12:15:07Z,SH-TA,SH-TA,"Tristan da Cunha","Tristan da Cunha",,
72,72,2016-12-15T12:15:07Z,TK,TK,Tokelau,Tokelau,,
71,71,2016-12-15T12:15:07Z,TW,TW,Taiwan,Taiwan,,
70,70,2016-12-15T12:15:07Z,SJ,SJ,"Svalbard and Jan Mayen","Svalbard and Jan Mayen",,
69,69,2016-12-15T12:15:07Z,GS,GS,"South Georgia and South Sandwich Islands","South Georgia and the South Sandwich Islands",,
68,68,2016-12-15T12:15:07Z,SX,SX,"Sint Maarten (Dutch part)","Sint Maarten",,
67,67,2016-12-15T12:15:07Z,BQ-SE,BQ-SE,"Sint Eustatius","Sint Eustatius",,
66,66,2016-12-15T12:15:07Z,AE-SH,AE-SH,Sharjah,"Emirate of Sharjah",,
65,65,2016-12-15T12:15:07Z,PM,PM,"Saint Pierre and Miquelon","Saint Pierre and Miquelon",,
64,64,2016-12-15T12:15:07Z,MF,MF,"Saint-Martin (French part)","Collectivity of Saint Martin",,
63,63,2016-12-15T12:15:07Z,SH-HL,SH-HL,"Saint Helena","Saint Helena",,
62,62,2016-12-15T12:15:07Z,BL,BL,"Saint Barthélemy","Saint Barthélemy",,
61,61,2016-12-15T12:15:07Z,BQ-SA,BQ-SA,Saba,Saba,,
60,60,2016-12-15T12:15:07Z,AE-RK,AE-RK,"Ras al-Khaimah","Emirate of Ras al-Khaimah",,
59,59,2016-12-15T12:15:07Z,RE,RE,Réunion,Réunion,,
58,58,2016-12-15T12:15:07Z,PR,PR,"Puerto Rico","Commonwealth of Puerto Rico",,
57,57,2016-12-15T12:15:07Z,PN,PN,"Pitcairn, Henderson, Ducie and Oeno Islands","Pitcairn, Henderson, Ducie and Oeno Islands",,
56,56,2016-12-15T12:15:07Z,UM-95,UM-95,"Palmyra Atoll","Palmyra Atoll",,
55,55,2016-12-15T12:15:07Z,PS,PS,"Occupied Palestinian Territories","The Occupied Palestinian Territories",,
54,54,2016-12-15T12:15:07Z,MP,MP,"Northern Mariana Islands","Commonwealth of the Northern Mariana Islands",,
53,53,2016-12-15T12:15:07Z,NF,NF,"Norfolk Island","Territory of Norfolk Island",,
52,52,2016-12-15T12:15:07Z,NU,NU,Niue,Niue,,
51,51,2016-12-15T12:15:07Z,NC,NC,"New Caledonia","New Caledonia",,
50,50,2016-12-15T12:15:07Z,UM-76,UM-76,"Navassa Island","Navassa Island",,
49,49,2016-12-15T12:15:07Z,MS,MS,Montserrat,Montserrat,,
48,48,2016-12-15T12:15:07Z,UM-71,UM-71,"Midway Islands","Midway Islands",,
